main_faculty,main_program,sex,score,birth_year,birth_month,birth_day
1,3.0,2,100.0,1995,8,26
1,1.0,1,100.0,1994,8,9
2,40.0,1,100.0,1995,3,5
1,1.0,2,100.0,1994,10,14
1,3.0,2,100.0,1996,11,8
2,43.0,1,100.0,1996,5,10
1,1.0,1,100.0,1995,4,23
1,3.0,1,100.0,1996,8,22
2,16.0,2,99.6,1995,12,15
2,40.0,1,99.6,1995,2,13
3,2.0,2,99.6,1995,11,9
1,1.0,1,99.6,1995,12,6
2,5.0,1,99.4,1995,6,5
1,12.0,1,99.4,1994,11,10
2,4.0,1,99.3,1995,3,26
2,6.0,1,99.2,1990,9,2
3,2.0,2,99.2,1995,6,14
1,1.0,2,99.2,1992,4,25
2,13.0,1,99.2,1996,12,14
1,3.0,1,99.2,1995,6,18
2,9.0,1,99.2,1995,5,20
1,1.0,1,99.2,1996,12,11
1,3.0,1,99.1,1996,1,5
2,5.0,1,99.0,1995,4,1
1,1.0,1,99.0,1995,1,12
1,1.0,1,99.0,1996,4,4
1,3.0,2,99.0,1994,8,8
2,7.0,2,99.0,1996,10,1
2,10.0,2,99.0,1994,12,13
2,9.0,1,99.0,1995,3,24
1,3.0,1,98.96,1996,6,13
2,10.0,1,98.8,1996,10,11
2,5.0,1,98.8,1996,11,3
1,3.0,2,98.8,1995,12,20
1,3.0,1,98.8,1996,10,8
2,9.0,1,98.8,1996,6,7
4,15.0,1,98.8,1989,11,23
2,25.0,1,98.8,1995,8,16
2,10.0,1,98.8,1995,2,6
1,1.0,1,98.8,1996,9,21
1,1.0,1,98.74,1996,6,4
1,3.0,1,98.6,1994,7,8
2,43.0,2,98.6,1995,6,21
3,2.0,1,98.6,1992,2,22
1,1.0,1,98.6,1995,6,25
4,8.0,1,98.6,1995,7,2
2,23.0,1,98.6,1996,5,17
1,3.0,1,98.6,1995,7,5
1,3.0,1,98.6,1995,3,12
1,,1,98.6,1998,5,1
2,39.0,1,98.6,1995,8,13
1,3.0,1,98.56,1995,7,2
2,6.0,1,98.52,1992,8,15
1,1.0,1,98.4,1995,1,31
1,1.0,1,98.4,1996,2,26
1,3.0,1,98.4,1996,7,9
1,3.0,1,98.4,1995,11,22
1,1.0,1,98.4,1996,9,23
1,3.0,1,98.4,1996,3,20
2,5.0,1,98.4,1997,6,3
3,2.0,1,98.4,1995,10,21
1,3.0,1,98.36,1995,9,11
3,2.0,1,98.36,1995,2,6
2,5.0,1,98.3,1996,3,8
4,11.0,1,98.3,1996,2,29
1,1.0,1,98.26,1994,9,21
1,3.0,2,98.2,1995,8,17
4,19.0,2,98.2,1995,8,15
1,3.0,2,98.2,1996,10,9
1,1.0,1,98.2,1996,7,12
2,9.0,1,98.2,1996,7,5
1,3.0,1,98.2,1996,8,7
2,24.0,1,98.2,1995,12,12
1,3.0,1,98.2,1995,12,18
2,7.0,2,98.2,1995,11,16
2,40.0,1,98.2,1995,12,25
1,1.0,2,98.2,1997,1,25
4,35.0,2,98.2,1995,5,11
2,4.0,1,98.2,1997,1,27
3,2.0,2,98.2,1995,2,27
1,3.0,1,98.2,1992,10,28
2,7.0,2,98.2,1997,10,4
2,25.0,1,98.2,1994,11,29
2,5.0,1,98.1,1995,1,17
2,10.0,1,98.1,1996,9,16
1,1.0,2,98.1,1997,2,15
5,37.0,2,98.0,1997,6,12
1,1.0,2,98.0,1995,11,9
1,3.0,1,98.0,1994,1,12
2,39.0,1,98.0,1996,6,20
4,21.0,1,98.0,1995,10,28
2,7.0,1,98.0,1994,6,16
2,5.0,1,98.0,1996,1,2
1,3.0,1,98.0,1995,9,20
1,1.0,1,98.0,1995,11,13
2,10.0,1,98.0,1996,2,8
2,5.0,1,98.0,1995,5,29
1,3.0,1,98.0,1996,5,7
2,5.0,1,98.0,1996,3,26
2,7.0,2,98.0,1990,11,2
2,30.0,2,98.0,1995,8,18
2,7.0,2,98.0,1995,8,5
3,2.0,1,98.0,1996,5,20
2,7.0,2,98.0,1996,3,4
1,3.0,2,97.96,1995,1,8
2,5.0,1,97.9,1996,2,15
1,1.0,1,97.82,1995,7,18
2,7.0,1,97.8,1993,9,14
2,25.0,1,97.8,1995,5,16
2,5.0,1,97.8,1995,9,13
2,4.0,1,97.8,1995,8,1
2,9.0,1,97.8,1994,6,17
2,5.0,1,97.8,1995,12,13
2,16.0,1,97.8,1996,10,20
2,7.0,1,97.8,1996,4,21
1,1.0,1,97.8,1997,3,14
1,3.0,1,97.8,1996,1,5
2,,1,97.8,1997,12,23
2,6.0,1,97.8,1994,7,6
4,8.0,2,97.8,1996,11,3
2,31.0,1,97.8,1997,8,1
2,7.0,2,97.8,1997,6,26
2,29.0,1,97.77,1995,5,17
3,2.0,1,97.74,1995,11,11
1,3.0,1,97.7,1995,3,16
2,4.0,1,97.7,1997,4,3
2,6.0,1,97.666666666667,1996,10,7
1,3.0,1,97.6,1996,5,3
3,2.0,1,97.6,1996,6,30
2,7.0,2,97.6,1996,3,7
1,3.0,1,97.6,1994,12,23
1,1.0,1,97.6,1996,9,2
2,30.0,2,97.6,1990,11,20
1,3.0,1,97.6,1997,5,28
1,1.0,2,97.6,1997,4,30
2,5.0,1,97.6,1995,7,15
1,1.0,2,97.6,1996,8,26
2,5.0,1,97.6,1996,5,28
2,9.0,1,97.6,1995,12,27
2,25.0,1,97.6,1995,1,17
2,23.0,1,97.6,1995,12,25
1,1.0,1,97.6,1996,1,17
3,2.0,2,97.6,1994,12,9
1,3.0,1,97.6,1996,8,11
2,10.0,1,97.6,1995,10,4
2,5.0,1,97.6,1995,2,7
2,5.0,1,97.6,1996,6,29
2,25.0,1,97.6,1995,11,20
1,1.0,1,97.6,1995,1,11
3,2.0,1,97.54,1997,6,20
1,1.0,2,97.5,1997,6,6
1,1.0,1,97.5,1997,3,5
1,3.0,1,97.44,1995,3,30
